"inquiry","segment","speaker","start_time","end_time","duration","text","inq_type","inq_recording_year","inq_gender","inq_age_group","inq_quality","inq_themes"
"NURC_RE_DID_001","NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569.wav","Inf-ue",2148.897,2155.569,6.671,"mas normalmente eu acho muito perigoso principalmente numa avenida que tem muito movimento","DID",1974,"M","II","Ótima","Transportes, Viagens"
"NURC_RE_DID_001","NURC_RE_DID_001_Inf-ue_151_102.667_108.248.wav","Inf-ue",102.667,108.248,5.582,"e posteriormente fui conduzido para a escola Academia Militar de Agulhas Negras","DID",1974,"M","II","Ótima","Transportes, Viagens"
"NURC_RE_DID_001","NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554.wav","Inf-ue",1149.132,1154.554,5.423,"em primeiro lugar eu faria uma viagem à Europa isso por uma razão muito simples","DID",1974,"M","II","Ótima","Transportes, Viagens"
"NURC_RE_DID_001","NURC_RE_DID_001_Inf-ue_420_832.051_836.831.wav","Inf-ue",832.051,836.831,4.78,"mas nem todo conforto advém do progresso pelo menos é essa minha opinião","DID",1974,"M","II","Ótima","Transportes, Viagens"
"NURC_RE_DID_001","NURC_RE_DID_001_Inf-ue_200_243.659_247.495.wav","Inf-ue",243.659,247.495,3.836,"no lugar de ser um oficial de marinha me tornei um oficial do exército","DID",1974,"M","II","Ótima","Transportes, Viagens"
"NURC_RE_DID_013","NURC_RE_DID_013_Inf-ue_403_270.582_276.543.wav","Inf-ue",270.582,276.543,5.961,"agora nunca tinha visto as águas subirem tão depressa como eu vi","DID",1975,"F","I","Ótima","Meteorologia"
"NURC_RE_DID_013","NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383.wav","Inf-ue",2263.632,2269.383,5.751,"às vezes se deixam muito levar pela fantasia eu mesma às vezes fui muitas vezes levada pela fantasia","DID",1975,"F","I","Ótima","Meteorologia"
"NURC_RE_DID_013","NURC_RE_DID_013_Inf-ue_335_58.972_64.457.wav","Inf-ue",58.972,64.457,5.485,"mas sempre estava em casa e lá eu sofri porque eu tive que sair e a água quase na cintura","DID",1975,"F","I","Ótima","Meteorologia"
"NURC_RE_DID_013","NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36.wav","Inf-ue",1021.361,1026.36,4.999,"vou pra casa às vezes vou para o cinema às vezes vou pra casa de uma colega","DID",1975,"F","I","Ótima","Meteorologia"
"NURC_RE_DID_013","NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634.wav","Inf-ue",1093.903,1097.634,3.731,"eu almoço aqui mesmo na biblioteca trago o almoço de casa","DID",1975,"F","I","Ótima","Meteorologia"
